sample	animal	animal.1	geno	perc.meth
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.4
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	8.6
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	0
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.4
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.2
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	2.9
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	14.3
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	1.4
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	18.6
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	2.9
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	8.6
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	10
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	1.4
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.4
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	8.6
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.4
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	8.6
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.8
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	2.9
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	1.4
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.6
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	10
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	2.9
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.4
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	8.6
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	2.9
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	2.9
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	1.4
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	8.6
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.6
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	2.9
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	10
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	15.7
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.4
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.4
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	8.6
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.4
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.4
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.4
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.4
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	10
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	12.9
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	10
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	2.9
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	10
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	12.9
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	0
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.4
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	10
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	0
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	1.4
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	2.9
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	12.9
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.8
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	12.9
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	14.3
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	15.7
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	10
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	12.9
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.4
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.4
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.4
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	12.9
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	10.1
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.4
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	2.9
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	8.6
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	8.6
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	8.6
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.2
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	8.6
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	1.4
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	12.9
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	8.6
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	2.9
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	13
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	12.9
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	8.6
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	8.8
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	14.3
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	19.1
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	12.9
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.4
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	1.4
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	14.3
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	8.6
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	8.6
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.4
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.4
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	8.6
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	10.1
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	14.3
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.6
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	2.9
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.4
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	12.9
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.8
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.4
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.8
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	8.6
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	2.9
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	1.4
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.2
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	2.9
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	8.7
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	12.9
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	12.9
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	14.3
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	1.4
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	8.6
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	1.4
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.5
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	8.6
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.2
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	8.6
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	12.9
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.4
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.4
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	1.4
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	10
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	10
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.4
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	8.6
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	8.6
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.4
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	8.6
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.4
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	10
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	8.6
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	18.6
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	10
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	14.5
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	2.9
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	10.1
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.4
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	8.6
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	12.9
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	1.4
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	8.6
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.4
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	8.6
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	1.4
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.4
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	10.3
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	10
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	10
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	10
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	18.6
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	10
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	1.4
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	2.9
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	15.7
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	14.3
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.4
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	1.4
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	8.6
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	2.9
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	2.9
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	1.4
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.8
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.5
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	8.6
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	8.6
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	8.6
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	10
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	8.6
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.4
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.4
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	15.7
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	2.9
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	14.3
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	2.9
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	2.9
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.8
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	8.6
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	1.4
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	8.6
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	1.4
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	1.4
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.4
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	8.6
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	8.6
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	8.8
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	2.9
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.2
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	1.4
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	14.3
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.6
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.4
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	2.9
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.4
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	10
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	14.3
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	8.6
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.4
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.4
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.4
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	12.9
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.6
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.8
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	14.3
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	10
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	14.3
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	2.9
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.6
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	2.9
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	2.9
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	1.4
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	8.6
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.4
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	14.3
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	8.6
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	12.9
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	1.4
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	2.9
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	1.4
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.4
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.4
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	12.9
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	12.9
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.4
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.4
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	8.6
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.4
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	8.6
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.4
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	10
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	2.9
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	18.6
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	2.9
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	8.6
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	20.3
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	15.7
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	8.7
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	10
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	10
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	8.6
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	8.6
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	8.6
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	10
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	14.3
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	10
a.946.hoxc13.1_um	ctrl.1	ctrl.1	+/+	2.9
