sample	animal	animal.1	geno	perc.meth
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	15.7
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	8.6
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	17.1
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	1.5
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	2.9
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.5
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	8.6
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.4
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	15.7
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	2.9
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	17.1
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	0
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	2.9
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	17.1
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	12.9
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	2.9
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	2.9
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	10
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	2.9
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	1.4
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	0
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	12.9
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	0
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	0
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	1.4
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.8
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.6
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	17.1
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	8.6
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	8.6
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	14.3
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.4
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	10
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	2.9
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	13
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	2.9
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	15.9
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	2.9
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	18.6
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.4
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.8
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.4
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	10
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.4
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	15.7
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.4
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.4
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	8.6
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	0
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	18.6
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.8
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	1.4
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	1.4
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.6
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	2.9
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	15.7
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	10
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	10
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	12.9
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	1.4
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	10
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	12.9
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.4
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	14.3
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	1.4
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	1.4
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.4
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	2.9
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	14.5
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	17.1
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.6
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	12.9
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	14.3
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.2
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.2
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	17.1
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	2.9
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	1.4
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	10.1
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	1.4
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	15.7
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	8.6
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	10
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	8.7
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.8
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.4
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	2.9
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.4
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	12.9
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	10.3
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	1.4
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	8.6
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	14.3
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	15.9
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	1.4
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	10.1
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	2.9
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	10
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	0
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	12.1
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.4
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.4
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	20
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	8.6
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	17.1
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	1.4
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	1.4
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	1.4
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	17.1
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	8.6
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	8.6
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	17.1
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	2.9
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.8
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	14.3
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	10
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	8.6
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	17.1
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	8.6
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	10
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	1.4
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	18.6
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	10.1
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	1.4
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	17.1
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	2.9
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.4
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	10
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	10
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	10
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	17.1
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	12.9
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	1.4
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.4
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	12.9
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.4
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.4
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	17.1
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.4
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	12.9
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	12.9
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.4
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	2.9
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	14.3
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	8.6
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	10
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	14.3
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	1.4
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	1.4
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	1.4
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	17.1
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	8.6
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	17.1
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	2.9
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	10
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	14.3
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	10
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.4
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	10
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.8
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	14.3
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.4
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	8.6
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	14.3
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	2.9
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	2.9
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	17.1
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	21.4
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	2.9
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	14.7
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	12.9
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	1.4
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.6
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	8.6
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.4
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.4
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	10
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	2.9
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.4
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	2.9
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	2.9
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.8
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	10
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.6
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	2.9
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	1.4
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.2
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	2.9
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.8
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	1.4
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	1.4
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.4
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	2.9
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	10
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.4
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	1.4
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	1.4
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	8.6
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	0
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.4
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	8.6
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	8.6
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	8.6
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	8.6
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	8.6
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	8.6
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	10
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	1.4
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.4
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	0
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	12.9
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	2.9
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	14.3
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.4
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	2.9
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	10
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	8.6
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	10.1
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	2.9
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	8.6
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	8.6
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	2.9
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	17.1
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.4
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	2.9
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	14.5
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	12.9
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	8.6
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	8.6
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	0
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	1.4
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.4
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	17.1
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.4
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	8.6
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	17.4
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	10
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	8.6
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	8.6
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	8.6
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.4
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	10
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	17.1
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	8.6
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.6
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	8.6
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	1.4
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	14.3
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	14.3
cf.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
